"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"735846","2/5/2008 0:00:00","TORNADO",169,"TROUSDALE","TN",2,5,3625,8616
"735849","2/5/2008 0:00:00","TORNADO",111,"MACON","TN",13,44,3627,8610
"735870","2/6/2008 0:00:00","THUNDERSTORM WIND",159,"SMITH","TN",0,11,3613,8606
"735975","2/17/2008 0:00:00","STRONG WIND",68,"TNZ068","TN",1,0,0,0
"735980","3/3/2008 0:00:00","STRONG WIND",60,"TNZ060","TN",1,0,0,0
"736054","3/31/2008 0:00:00","FLASH FLOOD",157,"SHELBY","TN",1,0,3515,9002
"736061","4/1/2008 0:00:00","FLOOD",157,"SHELBY","TN",1,0,3500,8943
"736065","4/3/2008 0:00:00","FLASH FLOOD",131,"OBION","TN",1,0,3622,8858
"736097","4/11/2008 0:00:00","TORNADO",99,"LAWRENCE","TN",0,1,3516,8724
"736147","5/2/2008 0:00:00","FLASH FLOOD",17,"CARROLL","TN",0,2,3606,8828
"736151","5/2/2008 0:00:00","TORNADO",125,"MONTGOMERY","TN",0,3,3625,8730
"736178","5/10/2008 0:00:00","THUNDERSTORM WIND",157,"SHELBY","TN",0,1,3500,9002
"736235","5/26/2008 0:00:00","THUNDERSTORM WIND",75,"HAYWOOD","TN",0,1,3536,8915
"736472","7/22/2008 0:00:00","THUNDERSTORM WIND",141,"PUTNAM","TN",0,1,3604,8536
"736597","1/1/2008 0:00:00","WILDFIRE",241,"TXZ241","TX",0,1,0,0
"736603","1/5/2008 0:00:00","WILDFIRE",8,"TXZ008","TX",0,5,0,0
"736607","1/6/2008 0:00:00","WILDFIRE",8,"TXZ008","TX",0,4,0,0
"736649","1/28/2008 0:00:00","WILDFIRE",27,"TXZ027","TX",0,3,0,0
"736698","1/31/2008 0:00:00","WINTER WEATHER",12,"TXZ012","TX",1,2,0,0
"736700","1/31/2008 0:00:00","WINTER WEATHER",12,"TXZ012","TX",1,0,0,0
"736730","2/5/2008 0:00:00","WINTER WEATHER",7,"TXZ007","TX",2,5,0,0
"736774","2/11/2008 0:00:00","THUNDERSTORM WIND",481,"WHARTON","TX",0,1,2906,9624
"737075","3/18/2008 0:00:00","FLASH FLOOD",113,"DALLAS","TX",1,0,3247,9646
